Date : 2024-08-30 23:36:01
Directory : c:\Users\Daniel\Desktop\Flutter_Practice\dara\dara_app\lib
Total : 49 files,  13567 codes, 425 comments, 610 blanks, all 14602 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Dart     |         49 |     13,567 |        425 |        610 |     14,602 |
+----------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                     | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                        |         49 |     13,567 |        425 |        610 |     14,602 |
| . (Files)                                                                                                                |          2 |        142 |         24 |         21 |        187 |
| controller                                                                                                               |          5 |        277 |         21 |         36 |        334 |
| controller\account                                                                                                       |          2 |        181 |          9 |         14 |        204 |
| controller\providers                                                                                                     |          1 |         42 |          3 |          6 |         51 |
| controller\singleton                                                                                                     |          1 |         23 |          7 |         11 |         41 |
| controller\utils                                                                                                         |          1 |         31 |          2 |          5 |         38 |
| model                                                                                                                    |          2 |         31 |          0 |          2 |         33 |
| model\account                                                                                                            |          1 |         28 |          0 |          2 |         30 |
| model\constants                                                                                                          |          1 |          3 |          0 |          0 |          3 |
| services                                                                                                                 |          3 |         66 |          6 |         13 |         85 |
| services\firebase                                                                                                        |          2 |         45 |          6 |          8 |         59 |
| services\google                                                                                                          |          1 |         21 |          0 |          5 |         26 |
| view                                                                                                                     |         37 |     13,051 |        374 |        538 |     13,963 |
| view\pages                                                                                                               |         34 |     12,267 |        333 |        470 |     13,070 |
| view\pages\account                                                                                                       |          8 |      1,669 |        118 |        129 |      1,916 |
| view\pages\account (Files)                                                                                               |          1 |         71 |          7 |          8 |         86 |
| view\pages\account\login                                                                                                 |          1 |        390 |         24 |         22 |        436 |
| view\pages\account\register                                                                                              |          6 |      1,208 |         87 |         99 |      1,394 |
| view\pages\account\register (Files)                                                                                      |          5 |        838 |         53 |         63 |        954 |
| view\pages\account\register\widgets                                                                                      |          1 |        370 |         34 |         36 |        440 |
| view\pages\admin                                                                                                         |         18 |      9,660 |        203 |        298 |     10,161 |
| view\pages\admin\car_list                                                                                                |          2 |      1,416 |         43 |         42 |      1,501 |
| view\pages\admin\center_button                                                                                           |          1 |         19 |          0 |          3 |         22 |
| view\pages\admin\home                                                                                                    |          2 |        985 |         18 |         23 |      1,026 |
| view\pages\admin\home_top_option                                                                                         |          1 |        417 |          8 |         20 |        445 |
| view\pages\admin\manage                                                                                                  |          3 |      2,364 |         56 |         67 |      2,487 |
| view\pages\admin\manage\inquiries                                                                                        |          1 |        528 |         16 |         23 |        567 |
| view\pages\admin\manage\reports                                                                                          |          1 |      1,072 |         29 |         34 |      1,135 |
| view\pages\admin\manage\status                                                                                           |          1 |        764 |         11 |         10 |        785 |
| view\pages\admin\profile                                                                                                 |          1 |      1,185 |         28 |         25 |      1,238 |
| view\pages\admin\rent_process                                                                                            |          6 |      1,524 |         17 |         58 |      1,599 |
| view\pages\admin\rent_process (Files)                                                                                    |          4 |      1,260 |         15 |         47 |      1,322 |
| view\pages\admin\rent_process\documents                                                                                  |          2 |        264 |          2 |         11 |        277 |
| view\pages\admin\rentals                                                                                                 |          2 |      1,750 |         33 |         60 |      1,843 |
| view\pages\carousel                                                                                                      |          7 |        889 |         12 |         33 |        934 |
| view\pages\carousel (Files)                                                                                              |          1 |         12 |          0 |          3 |         15 |
| view\pages\carousel\widgets                                                                                              |          6 |        877 |         12 |         30 |        919 |
| view\pages\entry                                                                                                         |          1 |         49 |          0 |         10 |         59 |
| view\shared                                                                                                              |          3 |        784 |         41 |         68 |        893 |
+--------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                                 | language | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| c:\Users\Daniel\Desktop\Flutter_Practice\dara\dara_app\lib\controller\account\login_controller.dart                      | Dart     |         50 |          2 |          4 |         56 |
| c:\Users\Daniel\Desktop\Flutter_Practice\dara\dara_app\lib\controller\account\register_controller.dart                   | Dart     |        131 |          7 |         10 |        148 |
| c:\Users\Daniel\Desktop\Flutter_Practice\dara\dara_app\lib\controller\providers\register_provider.dart                   | Dart     |         42 |          3 |          6 |         51 |
| c:\Users\Daniel\Desktop\Flutter_Practice\dara\dara_app\lib\controller\singleton\persistent_data.dart                     | Dart     |         23 |          7 |         11 |         41 |
| c:\Users\Daniel\Desktop\Flutter_Practice\dara\dara_app\lib\controller\utils\intent_utils.dart                            | Dart     |         31 |          2 |          5 |         38 |
| c:\Users\Daniel\Desktop\Flutter_Practice\dara\dara_app\lib\firebase_options.dart                                         | Dart     |         53 |         12 |          4 |         69 |
| c:\Users\Daniel\Desktop\Flutter_Practice\dara\dara_app\lib\main.dart                                                     | Dart     |         89 |         12 |         17 |        118 |
| c:\Users\Daniel\Desktop\Flutter_Practice\dara\dara_app\lib\model\account\register_model.dart                             | Dart     |         28 |          0 |          2 |         30 |
| c:\Users\Daniel\Desktop\Flutter_Practice\dara\dara_app\lib\model\constants\firebase_constants.dart                       | Dart     |          3 |          0 |          0 |          3 |
| c:\Users\Daniel\Desktop\Flutter_Practice\dara\dara_app\lib\services\firebase\auth.dart                                   | Dart     |         31 |          6 |          6 |         43 |
| c:\Users\Daniel\Desktop\Flutter_Practice\dara\dara_app\lib\services\firebase\firestore.dart                              | Dart     |         14 |          0 |          2 |         16 |
| c:\Users\Daniel\Desktop\Flutter_Practice\dara\dara_app\lib\services\google\google.dart                                   | Dart     |         21 |          0 |          5 |         26 |
| c:\Users\Daniel\Desktop\Flutter_Practice\dara\dara_app\lib\view\pages\account\account_opening.dart                       | Dart     |         71 |          7 |          8 |         86 |
| c:\Users\Daniel\Desktop\Flutter_Practice\dara\dara_app\lib\view\pages\account\login\login.dart                           | Dart     |        390 |         24 |         22 |        436 |
| c:\Users\Daniel\Desktop\Flutter_Practice\dara\dara_app\lib\view\pages\account\register\register.dart                     | Dart     |        352 |         13 |         21 |        386 |
