Date : 2024-09-05 18:34:52
Directory : c:\Users\Daniel\Desktop\Flutter_Practice\dara\dara_app\lib
Total : 53 files,  13371 codes, 448 comments, 648 blanks, all 14467 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Dart     |         53 |     13,371 |        448 |        648 |     14,467 |
+----------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                     | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                        |         53 |     13,371 |        448 |        648 |     14,467 |
| . (Files)                                                                                                                |          2 |        133 |         25 |         19 |        177 |
| controller                                                                                                               |          7 |        325 |         28 |         48 |        401 |
| controller\account                                                                                                       |          2 |        181 |          9 |         14 |        204 |
| controller\home                                                                                                          |          1 |         44 |          7 |         12 |         63 |
| controller\providers                                                                                                     |          1 |         42 |          3 |          6 |         51 |
| controller\singleton                                                                                                     |          1 |         23 |          7 |         11 |         41 |
| controller\utils                                                                                                         |          2 |         35 |          2 |          5 |         42 |
| model                                                                                                                    |          2 |         31 |          0 |          2 |         33 |
| model\account                                                                                                            |          1 |         28 |          0 |          2 |         30 |
| model\constants                                                                                                          |          1 |          3 |          0 |          0 |          3 |
| services                                                                                                                 |          4 |        105 |         14 |         21 |        140 |
| services\firebase                                                                                                        |          2 |         45 |          6 |          8 |         59 |
| services\google                                                                                                          |          1 |         21 |          0 |          5 |         26 |
| services\weather                                                                                                         |          1 |         39 |          8 |          8 |         55 |
| view                                                                                                                     |         38 |     12,777 |        381 |        558 |     13,716 |
| view\pages                                                                                                               |         34 |     11,902 |        336 |        482 |     12,720 |
| view\pages\account                                                                                                       |          8 |      1,657 |        118 |        131 |      1,906 |
| view\pages\account (Files)                                                                                               |          1 |         73 |          7 |          8 |         88 |
| view\pages\account\login                                                                                                 |          1 |        399 |         24 |         24 |        447 |
| view\pages\account\register                                                                                              |          6 |      1,185 |         87 |         99 |      1,371 |
| view\pages\account\register (Files)                                                                                      |          5 |        839 |         53 |         63 |        955 |
| view\pages\account\register\widgets                                                                                      |          1 |        346 |         34 |         36 |        416 |
| view\pages\admin                                                                                                         |         18 |      9,296 |        206 |        308 |      9,810 |
| view\pages\admin\car_list                                                                                                |          2 |      1,416 |         43 |         42 |      1,501 |
| view\pages\admin\center_button                                                                                           |          1 |         19 |          0 |          3 |         22 |
| view\pages\admin\home                                                                                                    |          2 |      1,136 |         21 |         28 |      1,185 |
| view\pages\admin\home_top_option                                                                                         |          1 |        419 |          8 |         20 |        447 |
| view\pages\admin\manage                                                                                                  |          3 |      2,364 |         56 |         67 |      2,487 |
| view\pages\admin\manage\inquiries                                                                                        |          1 |        528 |         16 |         23 |        567 |
| view\pages\admin\manage\reports                                                                                          |          1 |      1,072 |         29 |         34 |      1,135 |
| view\pages\admin\manage\status                                                                                           |          1 |        764 |         11 |         10 |        785 |
| view\pages\admin\profile                                                                                                 |          1 |        666 |         28 |         30 |        724 |
| view\pages\admin\rent_process                                                                                            |          6 |      1,524 |         17 |         58 |      1,599 |
| view\pages\admin\rent_process (Files)                                                                                    |          4 |      1,260 |         15 |         47 |      1,322 |
| view\pages\admin\rent_process\documents                                                                                  |          2 |        264 |          2 |         11 |        277 |
| view\pages\admin\rentals                                                                                                 |          2 |      1,752 |         33 |         60 |      1,845 |
| view\pages\carousel                                                                                                      |          7 |        900 |         12 |         33 |        945 |
| view\pages\carousel (Files)                                                                                              |          1 |         12 |          0 |          3 |         15 |
| view\pages\carousel\widgets                                                                                              |          6 |        888 |         12 |         30 |        930 |
| view\pages\entry                                                                                                         |          1 |         49 |          0 |         10 |         59 |
| view\shared                                                                                                              |          4 |        875 |         45 |         76 |        996 |
+--------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                                 | language | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| c:\Users\Daniel\Desktop\Flutter_Practice\dara\dara_app\lib\controller\account\login_controller.dart                      | Dart     |         50 |          2 |          4 |         56 |
| c:\Users\Daniel\Desktop\Flutter_Practice\dara\dara_app\lib\controller\account\register_controller.dart                   | Dart     |        131 |          7 |         10 |        148 |
| c:\Users\Daniel\Desktop\Flutter_Practice\dara\dara_app\lib\controller\home\home_controller.dart                          | Dart     |         44 |          7 |         12 |         63 |
| c:\Users\Daniel\Desktop\Flutter_Practice\dara\dara_app\lib\controller\providers\register_provider.dart                   | Dart     |         42 |          3 |          6 |         51 |
| c:\Users\Daniel\Desktop\Flutter_Practice\dara\dara_app\lib\controller\singleton\persistent_data.dart                     | Dart     |         23 |          7 |         11 |         41 |
| c:\Users\Daniel\Desktop\Flutter_Practice\dara\dara_app\lib\controller\utils\constants.dart                               | Dart     |          4 |          0 |          0 |          4 |
| c:\Users\Daniel\Desktop\Flutter_Practice\dara\dara_app\lib\controller\utils\intent_utils.dart                            | Dart     |         31 |          2 |          5 |         38 |
| c:\Users\Daniel\Desktop\Flutter_Practice\dara\dara_app\lib\firebase_options.dart                                         | Dart     |         53 |         12 |          4 |         69 |
| c:\Users\Daniel\Desktop\Flutter_Practice\dara\dara_app\lib\main.dart                                                     | Dart     |         80 |         13 |         15 |        108 |
